Artikel-ID,Artikel,Text
art_22,Art. 22,"Führt der Täter, nachdem er mit der Ausführung eines Verbrechens oder Vergehens begonnen hat, die strafbare Tätigkeit nicht zu Ende oder tritt der zur Vollendung der Tat gehörende Erfolg nicht ein oder kann dieser nicht eintreten, so kann das Gericht die Strafe mildern. Verkennt der Täter aus grobem Unverstand, dass die Tat nach der Art des Gegenstandes oder des Mittels, an oder mit dem er sie ausführen will, überhaupt nicht zur Vollendung gelangen kann, so bleibt er straflos."
art_23,Art. 23,"Führt der Täter aus eigenem Antrieb die strafbare Tätigkeit nicht zu Ende oder trägt er dazu bei, die Vollendung der Tat zu verhindern, so kann das Gericht die Strafe mildern oder von einer Bestrafung absehen. Sind an einer Tat mehrere Täter oder Teilnehmer beteiligt, so kann das Gericht die Strafe dessen mildern oder von der Bestrafung dessen absehen, der aus eigenem Antrieb dazu beiträgt, die Vollendung der Tat zu verhindern. Das Gericht kann die Strafe auch mildern oder von der Bestrafung absehen, wenn der Rücktritt des Täters oder des Teilnehmers die Vollendung der Tat verhindert hätte, diese aber aus anderen Gründen ausbleibt. Bemüht sich einer von mehreren Tätern oder Teilnehmern aus eigenem Antrieb ernsthaft, die Vollendung der Tat zu verhindern, so kann das Gericht seine Strafe mildern oder von seiner Bestrafung absehen, wenn die Tat unabhängig von seinem Tatbeitrag begangen wird."
art_24,Art. 24,"Wer jemanden vorsätzlich zu dem von diesem verübten Verbrechen oder Vergehen bestimmt hat, wird nach der Strafandrohung, die auf den Täter Anwendung findet, bestraft. Wer jemanden zu einem Verbrechen zu bestimmen versucht, wird wegen Versuchs dieses Verbrechens bestraft."
art_25,Art. 25,"Wer zu einem Verbrechen oder Vergehen vorsätzlich Hilfe leistet, wird milder bestraft."
art_26,Art. 26,"Wird die Strafbarkeit durch eine besondere Pflicht des Täters begründet oder erhöht, so wird der Teilnehmer, dem diese Pflicht nicht obliegt, milder bestraft."
art_27,Art. 27,"Besondere persönliche Verhältnisse, Eigenschaften und Umstände, welche die Strafbarkeit erhöhen, vermindern oder ausschliessen, werden bei dem Täter oder Teilnehmer berücksichtigt, bei dem sie vorliegen."
art_28,Art. 28,"Wird eine strafbare Handlung durch Veröffentlichung in einem Medium begangen und erschöpft sie sich in dieser Veröffentlichung, so ist, unter Vorbehalt der nachfolgenden Bestimmungen, der Autor allein strafbar. Kann der Autor nicht ermittelt oder in der Schweiz nicht vor Gericht gestellt werden, so ist der verantwortliche Redaktor nach Artikel 322 Hat die Veröffentlichung ohne Wissen oder gegen den Willen des Autors stattgefunden, so ist der Redaktor oder, wenn ein solcher fehlt, die für die Veröffentlichung verantwortliche Person als Täter strafbar. Die wahrheitsgetreue Berichterstattung über öffentliche Verhandlungen und amtliche Mitteilungen einer Behörde ist straflos."
art_28_a,Art. 28,"Verweigern Personen, die sich beruflich mit der Veröffentlichung von Informationen im redaktionellen Teil eines periodisch erscheinenden Mediums befassen, oder ihre Hilfspersonen das Zeugnis über die Identität des Autors oder über Inhalt und Quellen ihrer Informationen, so dürfen weder Strafen noch prozessuale Zwangsmassnahmen gegen sie verhängt werden. Absatz 1 gilt nicht, wenn das Gericht a. das Zeugnis erforderlich ist, um eine Person aus einer unmittelbaren Gefahr für Leib und Leben zu retten; oder b. ohne das Zeugnis ein Tötungsdelikt im Sinne der Artikel 111–113 oder ein anderes Verbrechen, das mit einer Mindeststrafe von drei Jahren Freiheitsstrafe bedroht ist, oder eine Straftat nach den Artikeln 187, 189–191, 197 Absatz 4, 260"
art_29,Art. 29,"Eine besondere Pflicht, deren Verletzung die Strafbarkeit begründet oder erhöht, und die nur der juristischen Person, der Gesellschaft oder der Einzelfirma a. als Organ oder als Mitglied eines Organs einer juristischen Person; b. als Gesellschafter; c. als Mitarbeiter mit selbständigen Entscheidungsbefugnissen in seinem Tätigkeitsbereich einer juristischen Person, einer Gesellschaft oder einer Einzelfirma d. ohne Organ, Mitglied eines Organs, Gesellschafter oder Mitarbeiter zu sein, als tatsächlicher Leiter."
art_30,Art. 30,"Ist eine Tat nur auf Antrag strafbar, so kann jede Person, die durch sie verletzt worden ist, die Bestrafung des Täters beantragen. Ist die verletzte Person handlungsunfähig, so ist ihr gesetzlicher Vertreter zum Antrag berechtigt. Steht sie unter Vormundschaft oder unter umfassender Beistandschaft, so steht das Antragsrecht auch der Erwachsenenschutzbehörde zu. Ist die verletzte Person minderjährig oder steht sie unter umfassender Beistandschaft, so ist auch sie zum Antrag berechtigt, wenn sie urteilsfähig ist. Stirbt die verletzte Person, ohne dass sie den Strafantrag gestellt oder auf den Strafantrag ausdrücklich verzichtet hat, so steht das Antragsrecht jedem Angehörigen zu. Hat eine antragsberechtigte Person ausdrücklich auf den Antrag verzichtet, so ist ihr Verzicht endgültig."
art_31,Art. 31,"Das Antragsrecht erlischt nach Ablauf von drei Monaten. Die Frist beginnt mit dem Tag, an welchem der antragsberechtigten Person der Täter bekannt wird."
art_32,Art. 32,"Stellt eine antragsberechtigte Person gegen einen an der Tat Beteiligten Strafantrag, so sind alle Beteiligten zu verfolgen."
art_33,Art. 33,"Die antragsberechtigte Person kann ihren Strafantrag zurückziehen, solange das Urteil der zweiten kantonalen Instanz noch nicht eröffnet ist. Wer seinen Strafantrag zurückgezogen hat, kann ihn nicht nochmals stellen. Zieht die antragsberechtigte Person ihren Strafantrag gegenüber einem Beschuldigten zurück, so gilt der Rückzug für alle Beschuldigten. Erhebt ein Beschuldigter gegen den Rückzug des Strafantrages Einspruch, so gilt der Rückzug für ihn nicht."
art_34,Art. 34,"Bestimmt es das Gesetz nicht anders, so beträgt die Geldstrafe mindestens drei und höchstens 180 Tagessätze. Ein Tagessatz beträgt in der Regel mindestens 30 und höchstens 3000 Franken. Die Behörden des Bundes, der Kantone und der Gemeinden geben die für die Bestimmung des Tagessatzes erforderlichen Auskünfte. Zahl und Höhe der Tagessätze sind im Urteil festzuhalten."
art_35,Art. 35,"Die Vollzugsbehörde bestimmt dem Verurteilten eine Zahlungsfrist von einem bis zu sechs Monaten. Besteht der begründete Verdacht, dass der Verurteilte sich der Vollstreckung der Geldstrafe entziehen wird, so kann die Vollzugsbehörde die sofortige Bezahlung oder eine Sicherheitsleistung verlangen. Bezahlt der Verurteilte die Geldstrafe nicht fristgemäss, so ordnet die Vollzugsbehörde die Betreibung an, wenn davon ein Ergebnis zu erwarten ist."
art_36,Art. 36,"Soweit der Verurteilte die Geldstrafe nicht bezahlt und sie auf dem Betreibungsweg (Art. 35 Abs. 3) uneinbringlich ist, tritt an die Stelle der Geldstrafe eine Freiheitsstrafe. Ein Tagessatz entspricht einem Tag Freiheitsstrafe. Die Ersatzfreiheitsstrafe entfällt, soweit die Geldstrafe nachträglich bezahlt wird. Wurde die Geldstrafe durch eine Verwaltungsbehörde verhängt, so entscheidet das Gericht über die Ersatzfreiheitsstrafe. …"
art_37_39,Art. 37,Kein Inhalt
art_40,Art. 40,"Die Mindestdauer der Freiheitsstrafe beträgt drei Tage; vorbehalten bleibt eine kürzere Freiheitsstrafe anstelle einer nicht bezahlten Geldstrafe (Art. 36) oder Busse (Art. 106). Die Höchstdauer der Freiheitsstrafe beträgt 20 Jahre. Wo es das Gesetz ausdrücklich bestimmt, dauert die Freiheitsstrafe lebenslänglich."
art_41,Art. 41,"Das Gericht kann statt auf eine Geldstrafe auf eine Freiheitsstrafe erkennen, wenn: a. eine solche geboten erscheint, um den Täter von der Begehung weiterer Verbrechen oder Vergehen abzuhalten; oder b. eine Geldstrafe voraussichtlich nicht vollzogen werden kann. Es hat die Wahl der Freiheitsstrafe näher zu begründen. Vorbehalten bleibt die Freiheitsstrafe anstelle einer nicht bezahlten Geldstrafe (Art. 36)."
art_42,Art. 42,"Das Gericht schiebt den Vollzug einer Geldstrafe oder einer Freiheitsstrafe von höchstens zwei Jahren in der Regel auf, wenn eine unbedingte Strafe nicht notwendig erscheint, um den Täter von der Begehung weiterer Verbrechen oder Vergehen abzuhalten. Wurde der Täter innerhalb der letzten fünf Jahre vor der Tat zu einer bedingten oder unbedingten Freiheitsstrafe von mehr als sechs Monaten verurteilt, so ist der Aufschub nur zulässig, wenn besonders günstige Umstände vorliegen. Die Gewährung des bedingten Strafvollzuges kann auch verweigert werden, wenn der Täter eine zumutbare Schadenbehebung unterlassen hat. Eine bedingte Strafe kann mit einer Busse nach Artikel 106 verbunden werden."
art_43,Art. 43,"Das Gericht kann den Vollzug einer Freiheitsstrafe von mindestens einem Jahr und höchstens drei Jahren teilweise aufschieben, wenn dies notwendig ist, um dem Verschulden des Täters genügend Rechnung zu tragen. Der unbedingt vollziehbare Teil darf die Hälfte der Strafe nicht übersteigen. Sowohl der aufgeschobene wie auch der zu vollziehende Teil müssen mindestens sechs Monate betragen."
art_44,Art. 44,"Schiebt das Gericht den Vollzug einer Strafe ganz oder teilweise auf, so bestimmt es dem Verurteilten eine Probezeit von zwei bis fünf Jahren. Für die Dauer der Probezeit kann das Gericht Bewährungshilfe anordnen und Weisungen erteilen. Das Gericht erklärt dem Verurteilten die Bedeutung und die Folgen der bedingten und der teilbedingten Strafe. Die Probezeit beginnt mit Eröffnung des Urteils, das vollstreckbar wird."
art_45,Art. 45,"Hat sich der Verurteilte bis zum Ablauf der Probezeit bewährt, so wird die aufgeschobene Strafe nicht mehr vollzogen."
art_46,Art. 46,"Begeht der Verurteilte während der Probezeit ein Verbrechen oder Vergehen und ist deshalb zu erwarten, dass er weitere Straftaten verüben wird, so widerruft das Gericht die bedingte Strafe oder den bedingten Teil der Strafe. Ist nicht zu erwarten, dass der Verurteilte weitere Straftaten begehen wird, so verzichtet das Gericht auf einen Widerruf. Es kann den Verurteilten verwarnen oder die Probezeit um höchstens die Hälfte der im Urteil festgesetzten Dauer verlängern. Für die Dauer der verlängerten Probezeit kann das Gericht Bewährungshilfe anordnen und Weisungen erteilen. Erfolgt die Verlängerung erst nach Ablauf der Probezeit, so beginnt sie am Tag der Anordnung. Das zur Beurteilung des neuen Verbrechens oder Vergehens zuständige Gericht entscheidet auch über den Widerruf. Entzieht sich der Verurteilte der Bewährungshilfe oder missachtet er die Weisungen, so ist Artikel 95 Absätze 3–5 anwendbar. Der Widerruf darf nicht mehr angeordnet werden, wenn seit dem Ablauf der Probezeit drei Jahre vergangen sind."
art_47,Art. 47,"Das Gericht misst die Strafe nach dem Verschulden des Täters zu. Es berücksichtigt das Vorleben und die persönlichen Verhältnisse sowie die Wirkung der Strafe auf das Leben des Täters. Das Verschulden wird nach der Schwere der Verletzung oder Gefährdung des betroffenen Rechtsguts, nach der Verwerflichkeit des Handelns, den Beweggründen und Zielen des Täters sowie danach bestimmt, wie weit der Täter nach den inneren und äusseren Umständen in der Lage war, die Gefährdung oder Verletzung zu vermeiden."
art_48,Art. 48,"Das Gericht mildert die Strafe, wenn: a. b. der Täter durch das Verhalten der verletzten Person ernsthaft in Versuchung geführt worden ist; c. der Täter in einer nach den Umständen entschuldbaren heftigen Gemütsbewegung oder unter grosser seelischer Belastung gehandelt hat; d. der Täter aufrichtige Reue betätigt, namentlich den Schaden, soweit es ihm zuzumuten war, ersetzt hat; e. das Strafbedürfnis in Anbetracht der seit der Tat verstrichenen Zeit deutlich vermindert ist und der Täter sich in dieser Zeit wohl verhalten hat."
art_48_a,Art. 48,"Mildert das Gericht die Strafe, so ist es nicht an die angedrohte Mindeststrafe gebunden. Das Gericht kann auf eine andere als die angedrohte Strafart erkennen, ist aber an das gesetzliche Höchst- und Mindestmass der Strafart gebunden."
art_49,Art. 49,"Hat der Täter durch eine oder mehrere Handlungen die Voraussetzungen für mehrere gleichartige Strafen erfüllt, so verurteilt ihn das Gericht zu der Strafe der schwersten Straftat und erhöht sie angemessen. Es darf jedoch das Höchstmass der angedrohten Strafe nicht um mehr als die Hälfte erhöhen. Dabei ist es an das gesetzliche Höchstmass der Strafart gebunden. Hat das Gericht eine Tat zu beurteilen, die der Täter begangen hat, bevor er wegen einer andern Tat verurteilt worden ist, so bestimmt es die Zusatzstrafe in der Weise, dass der Täter nicht schwerer bestraft wird, als wenn die strafbaren Handlungen gleichzeitig beurteilt worden wären. Hat der Täter eine oder mehrere Taten vor Vollendung des 18. Altersjahres begangen, so dürfen diese bei der Bildung der Gesamtstrafe nach den Absätzen 1 und 2 nicht stärker ins Gewicht fallen, als wenn sie für sich allein beurteilt worden wären."
art_50,Art. 50,"Ist ein Urteil zu begründen, so hält das Gericht in der Begründung auch die für die Zumessung der Strafe erheblichen Umstände und deren Gewichtung fest."
art_51,Art. 51,"Das Gericht rechnet die Untersuchungshaft, die der Täter während dieses oder eines anderen Verfahrens ausgestanden hat, auf die Strafe an. Ein Tag Haft entspricht einem Tagessatz Geldstrafe."
art_52,Art. 52,"Die zuständige Behörde sieht von einer Strafverfolgung, einer Überweisung an das Gericht oder einer Bestrafung ab, wenn Schuld und Tatfolgen geringfügig sind."
art_53,Art. 53,"Hat der Täter den Schaden gedeckt oder alle zumutbaren Anstrengungen unternommen, um das von ihm bewirkte Unrecht auszugleichen, so sieht die zuständige Behörde von einer Strafverfolgung, einer Überweisung an das Gericht oder einer Bestrafung ab, wenn: a. als Strafe eine bedingte Freiheitsstrafe bis zu einem Jahr, eine bedingte Geldstrafe oder eine Busse in Betracht kommt; b. das Interesse der Öffentlichkeit und des Geschädigten an der Strafverfolgung gering sind; und c. der Täter den Sachverhalt eingestanden hat."
art_54,Art. 54,"Ist der Täter durch die unmittelbaren Folgen seiner Tat so schwer betroffen, dass eine Strafe unangemessen wäre, so sieht die zuständige Behörde von einer Strafverfolgung, einer Überweisung an das Gericht oder einer Bestrafung ab."
art_55,Art. 55,"Das Gericht sieht bei der bedingten Strafe vom Widerruf und bei der bedingten Entlassung von der Rückversetzung ab, wenn die Voraussetzungen der Strafbefreiung gegeben sind. Als zuständige Behörden nach den Artikeln 52, 53 und 54 bezeichnen die Kantone Organe der Strafrechtspflege."
art_55_a,Art. 55,"Bei einfacher Körperverletzung (Art. 123 Ziff. 2 Abs. 3–5), wiederholten Tätlichkeiten (Art. 126 Abs. 2 Bst. b, b a. b. das Opfer oder, falls dieses nicht handlungsfähig ist, sein gesetzlicher Vertreter darum ersucht; und c. die Sistierung geeignet erscheint, die Situation des Opfers zu stabilisieren oder zu verbessern. Die Staatsanwaltschaft oder das Gericht kann für die Zeit der Sistierung die beschuldigte Person dazu verpflichten, ein Lernprogramm gegen Gewalt zu besuchen. Die Staatsanwaltschaft oder das Gericht informiert die nach kantonalem Recht für Fälle häuslicher Gewalt zuständige Stelle über die getroffenen Massnahmen. Die Sistierung ist nicht zulässig, wenn: a. die beschuldigte Person wegen eines Verbrechens oder Vergehens gegen Leib und Leben, gegen die Freiheit oder gegen die sexuelle Integrität verurteilt wurde; b. gegen sie eine Strafe verhängt oder eine Massnahme angeordnet wurde; und c. sich die strafbare Handlung gegen ein Opfer nach Absatz 1 Buchstabe a richtete. Die Sistierung ist auf sechs Monate befristet. Die Staatsanwaltschaft oder das Gericht nimmt das Verfahren wieder an die Hand, wenn das Opfer oder, falls dieses nicht handlungsfähig ist, sein gesetzlicher Vertreter dies verlangt oder sich herausstellt, dass die Sistierung die Situation des Opfers weder stabilisiert noch verbessert. Vor Ende der Sistierung nimmt die Staatsanwaltschaft oder das Gericht eine Beurteilung vor. Hat sich die Situation des Opfers stabilisiert oder verbessert, so wird die Einstellung des Verfahrens verfügt."
art_56,Art. 56,"Eine Massnahme ist anzuordnen, wenn: a. eine Strafe allein nicht geeignet ist, der Gefahr weiterer Straftaten des Täters zu begegnen; b. ein Behandlungsbedürfnis des Täters besteht oder die öffentliche Sicherheit dies erfordert; und c. die Voraussetzungen der Artikel 59–61, 63 oder 64 erfüllt sind. Die Anordnung einer Massnahme setzt voraus, dass der mit ihr verbundene Eingriff in die Persönlichkeitsrechte des Täters im Hinblick auf die Wahrscheinlichkeit und Schwere weiterer Straftaten nicht unverhältnismässig ist. Das Gericht stützt sich beim Entscheid über die Anordnung einer Massnahme nach den Artikeln 59–61, 63 und 64 sowie bei der Änderung der Sanktion nach Artikel 65 auf eine sachverständige Begutachtung. Diese äussert sich über: a. die Notwendigkeit und die Erfolgsaussichten einer Behandlung des Täters; b. die Art und die Wahrscheinlichkeit weiterer möglicher Straftaten; und c. die Möglichkeiten des Vollzugs der Massnahme. Hat der Täter eine Tat im Sinne von Artikel 64 Absatz 1 begangen, so ist die Begutachtung durch einen Sachverständigen vorzunehmen, der den Täter weder behandelt noch in anderer Weise betreut hat. Kommt die Anordnung der lebenslänglichen Verwahrung nach Artikel 64 Absatz 1 Das Gericht ordnet eine Massnahme in der Regel nur an, wenn eine geeignete Einrichtung zur Verfügung steht. Eine Massnahme, für welche die Voraussetzungen nicht mehr erfüllt sind, ist aufzuheben."
art_56_a,Art. 56,"Sind mehrere Massnahmen in gleicher Weise geeignet, ist aber nur eine notwendig, so ordnet das Gericht diejenige an, die den Täter am wenigsten beschwert. Sind mehrere Massnahmen notwendig, so kann das Gericht diese zusammen anordnen."
