subject,predicate,object,artikel_id,artikel_nummer
Anwendung des StGBes,gilt wenn,StGB ist milder,art_11,Art. 11
Strafe,erfolgt,nach Inkrafttreten,art_11,Art. 11
StGB,ist milder als,vorheriges StGB,art_12,Art. 12
Anwendung,gilt wenn,das StGB ist milder,art_12,Art. 12
Verbrechen/Vergehen,begeht,Täter,art_12,Art. 12
Tat,begeht mit wissen und willen,Täter,art_12,Art. 12
Verbrechen/Vergehen,begeht pflichtwidrig,Täter,art_12,Art. 12
Täter,handelt fahrlässig,Verbrechen/Vergehen,art_12,Art. 12
Unvorsichtigkeit,ist pflichtwidrig,Täter,art_12,Art. 12
Täter,nimmt kauf auf der möglichkeit der tat,Verbrechen/Vergehen,art_12,Art. 12
Täter,"beachtet nicht die vorsicht, zu der er verpflichtet ist nach den umständen und seinen persönlichen verhältnissen",Unvorsichtigkeit,art_12,Art. 12
Täter,bedenkt die folge seines verhaltens aus pflichtwidriger unvorsichtigkeit nicht,Verbrechen/Vergehen,art_12,Art. 12
Täter,darauf nicht rücksicht nimmt auf die folge seines verhaltens aus pflichtwidriger unvorsichtigkeit,Verbrechen/Vergehen,art_12,Art. 12
Täter,begeht,Verbrechen,art_13,Art. 13
Täter,hat,irrige Vorstellung über den Sachverhalt,art_13,Art. 13
Gericht,beurteilt,"Tat zu Gunsten des Täters nach dem Sachverhalt, den sich der Täter vorgestellt hat",art_13,Art. 13
Täter,konnte vermeiden,Irrtum bei pflichtgemäßer Vorsicht,art_13,Art. 13
Täter,ist strafbar,Fahrlässigkeit,art_13,Art. 13
StGB,ist milder als,vorheriges StGB,art_13,Art. 13
Anwendung des StGBes,gilt wenn,Täter hat irrige Vorstellung über den Sachverhalt AND Täter konnte vermeiden Irrtum bei pflichtgemäßer Vorsicht,art_13,Art. 13
Fahrlässigkeit,wird angewendet auf,Täter,art_13,Art. 13
Täter,handelt,StGB,art_14,Art. 14
Tat,gebietet,StGB,art_14,Art. 14
Tat,ermöglicht,StGB,art_14,Art. 14
Tat,strafe bedroht,andere StGB,art_14,Art. 14
Beurteilung,erfolgt,nach Inkrafttreten,art_14,Art. 14
Vorheriges StGB,ist milder als,StGB,art_14,Art. 14
Anwendung,gilt wenn,StGB ist milder,art_14,Art. 14
StGB,wird angewendet auf,Täter,art_14,Art. 14
Täter,verbrechen,Angriff ohne Recht,art_15,Art. 15
- Tat,zeitpunkt,vor Inkrafttreten,art_15,Art. 15
- Beurteilung,erfolgt,nach Inkrafttreten,art_15,Art. 15
- StGB,ist milder als,vorheriges StGB,art_15,Art. 15
- Anwendung,gilt wenn,StGB ist milder,art_15,Art. 15
- Täter,wird angewendet auf,StGB,art_15,Art. 15
Täter,vergehen,Überschreiten der Grenzen der Notwehr nach Artikel 15,art_16,Art. 16
Tat,zeitpunkt,vor Inkrafttreten,art_16,Art. 16
StGB,ist milder als,vorheriges StGB,art_16,Art. 16
Anwendung,gilt wenn,Täter überschreitet die Grenzen der Notwehr in entschuldbarer Aufregung oder Bestürzung über den Angriff,art_16,Art. 16
Beurteilung,erfolgt,nach Inkrafttreten,art_16,Art. 16
Täter,begeht,Verbrechen,art_17,Art. 17
Verbrechen,zeitpunkt,vor Inkrafttreten,art_17,Art. 17
Beurteilung,erfolgt,nach Inkrafttreten,art_17,Art. 17
Beurteilung,erfolgt,rechtmässig,art_17,Art. 17
StGB,ist milder als,vorheriges StGB,art_17,Art. 17
Anwendung,gilt wenn,Täter rettet höherwertige Interessen,art_17,Art. 17
Tat,verbrechen,begeht,art_18,Art. 18
Tat,heißt,Notstandsverbrechen,art_18,Art. 18
Tat,zeitpunkt,vor Inkrafttreten,art_18,Art. 18
StGB,ist milder als,vorheriges StGB,art_18,Art. 18
Beurteilung,erfolgt,nach Inkrafttreten,art_18,Art. 18
StGB,wird angewendet auf,Täter,art_18,Art. 18
Tat,bedingung,"um sich oder eine andere Person aus einer unmittelbaren, nicht anders abwendbaren Gefahr für Leib, Leben, Freiheit, Ehre, Vermögen oder andere hochwertige Güter zu retten",art_18,Art. 18
Tat,bedingung,"war ihm zuzumuten, das gefährdete Gut preiszugeben",art_18,Art. 18
Täter,begeht,Verbrechen,art_19,Art. 19
Zeitpunkt,zur zeit der tat,gilt,art_19,Art. 19
Täter,fähig ist/war,einsehen das Unrecht seiner Tat oder gemäss dieser Einsicht handeln,art_19,Art. 19
Täter,"nur teilweise fähig war/ist, wenn er die einsicht hat/hat hatte",einsehen das Unrecht seiner Tat oder gemäss dieser Einsicht handeln,art_19,Art. 19
Gericht,mildert die strafe,"wenn der Täter zur Zeit der Tat nur teilweise fähig war/ist, wenn er die Einsicht hat/hat hatte, einsehen das Unrecht seiner Tat oder gemäss dieser Einsicht handeln",art_19,Art. 19
StGB,nicht anwendbar,"wenn der Täter zur Zeit der Tat nur teilweise fähig war/ist, wenn er die Einsicht hat/hat hatte, einsehen das Unrecht seiner Tat oder gemäss dieser Einsicht handeln",art_19,Art. 19
StGB,ist milder als,StGB,art_19,Art. 19
Anwendung des StGBes,gilt wenn,StGB ist milder als StGB,art_19,Art. 19
Täter,begeht,Verbrechen,art_20,Art. 20
- Beispiel: Unbekannter Akteur,begeht,Verbrechen,art_20,Art. 20
Verbrechen,heisst,angezweifelte Schuldfähigkeit,art_20,Art. 20
Zeitpunkt,zur vorbereitung,Antrag auf sachverständige Begutachtung,art_20,Art. 20
Beurteilung,erfolgt,nach Erstellung des Antrags auf sachverständige Begutachtung,art_20,Art. 20
StGB,ist milder als,vorheriges StGB,art_20,Art. 20
- Beispiel: StGB 1975,ist milder als,StGB 1969,art_20,Art. 20
Anwendung,gilt wenn,StGB 1975 ist milder als StGB 1969,art_20,Art. 20
Sachverständiger,wird angewendet auf,Täter,art_20,Art. 20
- Beispiel: Sachverständiger A,wird angewendet auf,Unbekannter Akteur,art_20,Art. 20
Täter,begeht,Verbrechen,art_21,Art. 21
Täter,nicht weiss,dass er sich rechtswidrig verhält,art_21,Art. 21
Täter,nicht kann,"wissen, dass er sich rechtswidrig verhält",art_21,Art. 21
Tat,heisst,Verbrechen,art_21,Art. 21
Zeitpunkt,vor inkrafttreten,StGB,art_21,Art. 21
Beurteilung,erfolgt,nach Inkrafttreten von StGB,art_21,Art. 21
StGB,ist milder als,vorheriges StGB,art_21,Art. 21
Anwendung,gilt wenn,StGB ist milder,art_21,Art. 21
Täter,begonnen hat,Verbrechen oder Vergehen,art_22,Art. 22
Täter,führt nicht zu ende,strafbare Tätigkeit,art_22,Art. 22
Gericht,kann mildern,Strafe,art_22,Art. 22
Täter,verkennt,grobem Unverstand,art_22,Art. 22
Täter,verkennt dass,Tat nach Art des Gegenstandes oder Mittels überhaupt nicht zur Vollendung gelangen kann,art_22,Art. 22
Täter,bleibt straflos,Verbrechen oder Vergehen,art_22,Art. 22
StGB,ist milder als,vorheriges StGB,art_22,Art. 22
Anwendung,gilt wenn,StGB ist milder,art_22,Art. 22
Täter,wird angewendet auf,StGB,art_22,Art. 22
Täter,beginnt,Verbrechen/Vergehen,art_23,Art. 23
- Täter,erfolgt,keine Strafe,art_23,Art. 23
- Täter,verhindert,Vollendung des Verbrechens/Vergehens,art_23,Art. 23
- StGB,ist,StGB,art_23,Art. 23
- Anwendung,gilt wenn,Tat nicht vollendet oder Täter verhindert die Vollendung der Tat,art_23,Art. 23
- Anwendung,ermöglicht,mildere Strafe oder Absehen von Bestrafung,art_23,Art. 23
- StGB,ist milder als,vorheriges StGB,art_23,Art. 23
Täter,verübt,Verbrechen oder Vergehen,art_24,Art. 24
Tat,ist milder als,nicht definiert,art_24,Art. 24
Beurteilung,erfolgt,Inkrafttreten,art_24,Art. 24
Täter,verhilft,Verbrechen oder Vergehen,art_25,Art. 25
Tat,heisst,Verbrechen oder Vergehen,art_25,Art. 25
Zeitpunkt,vor inkrafttreten,StGB,art_25,Art. 25
Beurteilung,erfolgt,nach Inkrafttreten von StGB,art_25,Art. 25
StGB,ist milder als,vorheriges StGB,art_25,Art. 25
Anwendung,gilt wenn,"Tat, Verbrechen oder Vergehen und Täter hilft vorsätzlich",art_25,Art. 25
Täter,begeht,Verbrechen,art_26,Art. 26
StGB,ist milder als,vorheriges StGB,art_26,Art. 26
Teilnehmer,wird bestraft mit,mildere Strafe,art_26,Art. 26
Teilnehmer,hat keine besondere pflicht,Täter,art_26,Art. 26
Anwendung,gilt wenn,StGB ist milder als vorheriges StGB,art_26,Art. 26
Täter,besitzt,persönliche Verhältnisse,art_27,Art. 27
Täter,besitzt,Eigenschaften,art_27,Art. 27
Täter,besitzt,Umstände,art_27,Art. 27
Persönliche Verhältnisse,erhöhen,Strafbarkeit,art_27,Art. 27
Persönliche Verhältnisse,vermindern,Strafbarkeit,art_27,Art. 27
Persönliche Verhältnisse,ausschließen,Strafbarkeit,art_27,Art. 27
StGB,erfolgt,nach Inkrafttreten,art_27,Art. 27
Handlung,begangen,Veröffentlichung,art_28,Art. 28
Handlung,durch,Veröffentlichung in einem Medium,art_28,Art. 28
Veröffentlichung,in,Medium,art_28,Art. 28
Veröffentlichung,befindet sich,Veröffentlichung,art_28,Art. 28
Veröffentlichung,erschöpft sich,in dieser Veröffentlichung,art_28,Art. 28
Autor,allein strafbar,Handlung,art_28,Art. 28
Veröffentlichung,ohne wissen oder gegen den willen des autors,stattgefunden,art_28,Art. 28
"Redaktor oder, wenn ein solcher fehlt, die für die Veröffentlichung verantwortliche Person",täter ist,Handlung,art_28,Art. 28
StGB,ist,StGB,art_28,Art. 28
StGB,ist milder als,vorheriges StGB,art_28,Art. 28
Anwendung,gilt wenn,StGB ist milder,art_28,Art. 28
StGB,heißt,StGB,art_28_a,Art. 28
Verweigern Personen...,kann strafen...,nicht verhängt werden,art_28_a,Art. 28
Verweigern Personen...,können prozessuale zwangsmassnahmen...,nicht verhängt werden,art_28_a,Art. 28
Gericht,a.,"das Zeugnis erforderlich ist, um eine Person aus einer unmittelbaren Gefahr für Leib und Leben zu retten",art_28_a,Art. 28
Gericht,b.,ohne das Zeugnis ein Tötungsdelikt im Sinne der Artikel 111–113 oder ein anderes Verbrechen...,art_28_a,Art. 28
StGB,ist milder als,vorheriges StGB,art_28_a,Art. 28
Anwendung,gilt wenn,StGB ist milder,art_28_a,Art. 28
Juristische Person,ist eine art der,Unternehmen,art_29,Art. 29
Gesellschaft,ist eine art der,Unternehmen,art_29,Art. 29
Einzelfirma,ist eine art der,Unternehmen,art_29,Art. 29
Organ,ist ein teil von,Juristischer Person,art_29,Art. 29
Mitglied eines Organs einer juristischen Person,ist eine position in,Organ,art_29,Art. 29
Gesellschafter,ist eine rolle in,Gesellschaft oder Einzelfirma,art_29,Art. 29
"Mitarbeiter mit selbständigen Entscheidungsbefugnissen in seinem Tätigkeitsbereich einer juristischen Person, einer Gesellschaft oder einer Einzelfirma",hat selbstständige entscheidungsfreiheit in,Tätigkeitsspezialisierung,art_29,Art. 29
StGB,wird angewendet auf,Der tatsächliche Leiter,art_29,Art. 29
Vorheriges StGB,ist milder als,StGB,art_29,Art. 29
Anwendung,gilt wenn,StGB ist milder,art_29,Art. 29
Tat,heisst,Verbrechen oder Vergehen,art_30,Art. 30
Zeitpunkt,erfolgt,Inkrafttreten des StGBes,art_30,Art. 30
Täter,beging,Verbrechen oder Vergehen,art_30,Art. 30
Antragsteller_1,kann,beantragen,art_30,Art. 30
Person_verletzt,ist,verletzt worden,art_30,Art. 30
Antragsteller_1,ist,jede Person,art_30,Art. 30
Antragsteller_2,ist,gesetzlicher Vertreter,art_30,Art. 30
Verletzte_Person_handlungsunfähig,ist,true,art_30,Art. 30
Antragsteller_3,steht,zum Antrag berechtigt,art_30,Art. 30
Verletzte_Person_unter_Vormundschaft_oder_umfassender_Beistandschaft,ist,true,art_30,Art. 30
Erwachsenenschutzbehörde,steht,"auch zum Antrag berechtigt, wenn es umfassende Beistandschaft gibt",art_30,Art. 30
Verletzte_Person_mindervolljährig_oder_unter_umfassender_Beistandschaft,ist,true,art_30,Art. 30
Verletzte_Person_mindervolljährig,ist,minderjährig,art_30,Art. 30
Verletzte_Person_urteilsfähig,ist,"urteilsfähig, falls nicht mindervolljährig",art_30,Art. 30
Antragsteller_4,steht,dem Antragsrecht zu,art_30,Art. 30
Verletzte_Person_gestorben,ist,true,art_30,Art. 30
Antragsteller_4_Verzicht_ausdrücklich,hat,"ausdrücklich auf den Antrag verzichtet, falls er ausdrücklich erfolgt",art_30,Art. 30
Verzicht_endgültig,ist,"endgültig, wenn ausdrücklicher Verzicht erfolgt",art_30,Art. 30
Täter,vergehen,Unbekannt,art_31,Art. 31
Zeitpunkt,bekannt gemacht,Unbekannt,art_31,Art. 31
Antragsrecht,erlischt,nach Ablauf von drei Monaten,art_31,Art. 31
Zeitpunkt,beginnt,Fristbeginn,art_31,Art. 31
StGB,ist milder als,vorheriges StGB,art_31,Art. 31
Anwendung,gilt wenn,Täter bekannt gemacht,art_31,Art. 31
Täter,verbrechen/vergehen,Keine Angabe,art_32,Art. 32
- Beurteilung,erfolgt,Nach Antragsstellung durch antragsberechtigte Person,art_32,Art. 32
- StGB,wird angewendet auf,Täter,art_32,Art. 32
- StGB,ist milder als,Keine Angabe,art_32,Art. 32
- Anwendung,gilt wenn,Keine Angabe,art_32,Art. 32
Antragsberechtigte Person,kann zurückziehen,Solange das Urteil der zweiten kantonalen Instanz noch nicht eröffnet ist,art_33,Art. 33
(Beurteilung des Entscheids,erfolgt,Nach Inkrafttreten des StGBes),art_33,Art. 33
(Beschuldigter,wird angewendet auf,StGB),art_33,Art. 33
Antragsberechtigte Person,zieht zurück gegenüber,Beschuldigten,art_33,Art. 33
(Rückzug des Strafantrages,gilt für,Alle Beschuldigten),art_33,Art. 33
Beschuldigter,erhebt einspruch gegen den rückzug des strafantrages,So gilt der Rückzug für ihn nicht,art_33,Art. 33
Anwendung des StGB,gilt wenn,Das StGB ist milder als das vorherige StGB,art_33,Art. 33
StGB,ist milder als,vorheriges StGB,art_34,Art. 34
Anwendung,gilt wenn,StGB ist milder,art_34,Art. 34
StGB,heisst,StGB,art_34,Art. 34
Tat,heisst,Verbrechen oder Vergehen,art_34,Art. 34
Täter,begeht,Tat,art_34,Art. 34
Beurteilung,erfolgt,nach Inkrafttreten,art_34,Art. 34
Tagessatz,mindestens,30 Franken,art_34,Art. 34
Tagessatz,höchstens,3000 Franken,art_34,Art. 34
Verurteilter,begeht,Verbrechen,art_35,Art. 35
Verbrechen,heisst,Geldstrafe,art_35,Art. 35
Vollzugsbehörde,bestimmt,Zahlungsfrist,art_35,Art. 35
Zahlungsfrist,liegt zwischen,1 und 6 Monaten,art_35,Art. 35
Verurteilter,begründet,Verdacht der Entziehung von Strafausführung,art_35,Art. 35
Vollzugsbehörde,kann verlangen,sofortige Bezahlung oder Sicherheitsleistung,art_35,Art. 35
Geldstrafe,"muss nicht fristgemäss bezahlt werden, so dass",Betreibung angeordnet wird,art_35,Art. 35
Vollzugsbehörde,ordnet an,Betreibung,art_35,Art. 35
Betreibung,erfolgt wenn,Ergebnis zu erwarten ist,art_35,Art. 35
Verurteilter,begeht,Verbrechen,art_36,Art. 36
Verurteilter,erhält,Geldstrafe,art_36,Art. 36
Geldstrafe,ist uneinbringlich,durch Betreibungsweg,art_36,Art. 36
Geldstrafe,wird ersetzt,Freiheitsstrafe,art_36,Art. 36
Freiheitsstrafe,entspricht,einem Tag Freiheitsstrafe,art_36,Art. 36
Ersatzfreiheitsstrafe,entfällt,soweit Geldstrafe nachträglich bezahlt wird,art_36,Art. 36
Gericht,entscheidet,"über Ersatzfreiheitsstrafe, wenn Geldstrafe durch Verwaltungsbehörde verhängt wurde",art_36,Art. 36
StGB,ist milder als,vorheriges StGB,art_36,Art. 36
Anwendung,gilt wenn,StGB ist milder,art_36,Art. 36
Täter,verbrechen/vergehen,Inkrafttreten,art_37_39,Art. 37
Täter,verbrechen/vergehen,vor Inkrafttreten,art_37_39,Art. 37
StGB,ist milder als,Kein_Inhalt,art_37_39,Art. 37
Anwendung,gilt wenn,StGB ist milder,art_37_39,Art. 37
Beurteilung,erfolgt,nach Inkrafttreten,art_37_39,Art. 37
Verbrechen,wird angewendet auf,Täter,art_40,Art. 40
StGB,ist milder als,nicht angegebener VorgängerstGB,art_40,Art. 40
Freiheitsstrafe,mindestdauer,drei Tage,art_40,Art. 40
Freiheitsstrafe,hochstdauer,20 Jahre,art_40,Art. 40
Freiheitsstrafe,besteht die möglichkeit für,kürzere Freiheitsstrafe anstelle einer nicht bezahlten Geldstrafe oder Busse,art_40,Art. 40
Freiheitsstrafe,besteht die möglichkeit für,lebenslängliche Freiheitsstrafe,art_40,Art. 40
Beurteilung,erfolgt,nach Inkrafttreten,art_40,Art. 40
Tat,verbrechen oder vergehen,Erkennung durch Gericht,art_41,Art. 41
Triple 2: Tat,zeitpunkt,Während der Verhandlung,art_41,Art. 41
Triple 3: Freiheitsstrafe,erfolgt,Wenn geboten erscheint um Täter von Begehung weiterer Verbrechen oder Vergehen abzuhalten,art_41,Art. 41
Triple 4: Freiheitsstrafe,erfolgt,Wenn Geldstrafe voraussichtlich nicht vollzogen werden kann,art_41,Art. 41
Triple 5: StGB,ist milder als,Kein Vorheriges StGB,art_41,Art. 41
Triple 6: Anwendung,gilt wenn,Freiheitsstrafe erfolgt im Fall a oder b,art_41,Art. 41
Triple 7: Gericht,hat die wahl der freiheitsstrafe näher zu begründen,In Zusammenhang mit Erkennung von Tat,art_41,Art. 41
Triple 8: Freiheitsstrafe,wird angewendet auf,Täter,art_41,Art. 41
Täter,begeht,Verbrechen oder Vergehen,art_42,Art. 42
- Tat,zeitpunkt,nach Inkrafttreten,art_42,Art. 42
- Tat,beurteilung,erfolgt nach Inkrafttreten,art_42,Art. 42
Gericht,schiebt,Vollzug einer Geldstrafe oder Freiheitsstrafe von höchstens zwei Jahren auf,art_42,Art. 42
- Vollzug,zeitpunkt,nach Inkrafttreten,art_42,Art. 42
- Vollzug,art,Geldstrafe oder Freiheitsstrafe,art_42,Art. 42
- Vollzug,bedingung,Unbedingte Strafe nicht notwendig erscheint um den Täter von der Begehung weiterer Verbrechen oder Vergehen abzuhalten,art_42,Art. 42
Gericht,erlaubt,"Aufschub nur zulässig, wenn besonders günstige Umstände vorliegen",art_42,Art. 42
- Aufschub,bedingung,Täter innerhalb der letzten fünf Jahre vor der Tat zu einer bedingten oder unbedingten Freiheitsstrafe von mehr als sechs Monaten verurteilt,art_42,Art. 42
- Aufschub,bedingung,besonders günstige Umstände vorliegen,art_42,Art. 42
Gericht,kann verweigern,Gewährung des bedingten Strafvollzuges,art_42,Art. 42
- Gewährung,bedingung,Täter eine zumutbare Schadenbehebung unterlassen hat,art_42,Art. 42
Gericht,kann verbinden,bedingte Strafe mit einer Busse nach Artikel 106,art_42,Art. 42
- bedingte Strafe,beurteilung,erfolgt nach Inkrafttreten,art_42,Art. 42
- bedingte Strafe,verbindet,Busse nach Artikel 106,art_42,Art. 42
Täter,begeht,Verbrechen,art_43,Art. 43
Freiheitsstrafe,beträgt,mindestens ein Jahr und höchstens drei Jahre,art_43,Art. 43
Freiheitsstrafe,aufschieben,möglich,art_43,Art. 43
Freiheitsstrafe aufgeschoben,mindestens beträgt,sechs Monate,art_43,Art. 43
Teil des Freiheitsstrafsaufschubs,darf,die Hälfte der Strafe nicht übersteigen,art_43,Art. 43
StGB,ist,StGB,art_43,Art. 43
StGB,ist milder als,vorheriges StGB,art_43,Art. 43
Anwendung des StGB,gilt wenn,StGB ist milder als vorheriges StGB,art_43,Art. 43
Tat,verbrechen,Schiebt Gericht Vollzug Strafe,art_44,Art. 44
Tat,zeitpunkt,vor Eröffnung des Urteils,art_44,Art. 44
Probezeit,besteht zwischen,2 und 5 Jahren,art_44,Art. 44
Bewährungshilfe,kann anordnen von,Gericht,art_44,Art. 44
Weisungen,können erteilt von,Gericht,art_44,Art. 44
Tat,zeitpunkt,mit Eröffnung des Urteils,art_44,Art. 44
Verurteilter,erhält probezeit,nach Eröffnung des Urteils,art_44,Art. 44
Anwendung,gilt wenn,StGB ist milder,art_44,Art. 44
Bewährungshilfe,erfolgt,Eröffnung des Urteils,art_44,Art. 44
Weisungen,erfolgen nach,Eröffnung des Urteils,art_44,Art. 44
Verurteilter,bewährt sich,Bis zum Ablauf der Probezeit,art_45,Art. 45
Triple 2: Bewährung,erfolgt,Nach dem Ablauf der Probezeit,art_45,Art. 45
Strafe,ist milder als,Keine Strafe,art_45,Art. 45
Anwendung,gilt wenn,Der Verurteilte sich bewährt bis zum Ablauf der Probezeit und die Strafe war aufgeschoben,art_45,Art. 45
StGB,heisst,StGB,art_45,Art. 45
Verurteilter,begeht,Verbrechen oder Vergehen,art_46,Art. 46
Triple: Verurteilter,tat,Verbrechen oder Vergehen,art_46,Art. 46
Triple: Verurteilter,zeitpunkt,während der Probezeit,art_46,Art. 46
Gericht,kann den verurteilten,verwarnen,art_46,Art. 46
Gericht,kann probezeit,"verlängern, um höchstens die Hälfte der im Urteil festgesetzten Dauer",art_46,Art. 46
Gericht,beginnt verlängerung,"nach Ablauf der Probezeit, wenn verlangert wird",art_46,Art. 46
Täter,begeht,Verbrechen,art_47,Art. 47
Tat,zeitpunkt,vor Inkrafttreten,art_47,Art. 47
StGB,ist milder als,vorheriges StGB,art_47,Art. 47
Anwendung,gilt wenn,StGB ist milder,art_47,Art. 47
Beurteilung,erfolgt,nach Inkrafttreten,art_47,Art. 47
Tat,bezieht sich auf,betroffenes Rechtsgut,art_47,Art. 47
Tat,schwere der verletzung oder gefährdung,betroffenes Rechtsgut,art_47,Art. 47
Tat,verwerflichkeit des handelns,Täter,art_47,Art. 47
Tat,beweggründe und ziele des täters,Täter,art_47,Art. 47
Tat,inneren und äusseren umständen,Täter,art_47,Art. 47
Tat,in lage war,"Täter, vermeiden Gefährdung oder Verletzung",art_47,Art. 47
Täter,begeht,Verbrechen,art_48,Art. 48
Täter,wird ernsthaft in versuchung geführt,durch die verletzte Person,art_48,Art. 48
StGB,ist milder als,vorheriges StGB,art_48,Art. 48
Anwendung,gilt wenn,StGB ist milder,art_48,Art. 48
Täter,handelt in einer heftigen gemütsbewegung,unter grosser seelischer Belastung,art_48,Art. 48
Täter,handelt unter grosser seelischer belastung,nach den Umständen entschuldbar,art_48,Art. 48
